id,name,price
118,improve,17.46
119,page,27.31
120,within,210.82
121,shoulder,629.06
122,summer,322.07
123,well,136.45
124,heavy,973.64
125,bad,332.52
126,yes,436.99
127,together,85.04
128,environmental,618.78
129,most,988.63
130,age,365.65
131,simply,280.29
132,professional,20.27
133,stage,236.69
134,party,556.03
135,middle,884.47
136,several,591.68
137,produce,998.47
138,cell,116.43
139,report,880.99
140,daughter,207.68
141,into,980.2
142,think,970.44
143,push,530.21
144,relationship,131.1
145,tree,708.18
146,energy,870.25
147,anything,718.6
148,space,446.33
149,ahead,922.84
150,unit,83.24
151,local,681.55
152,single,876.29
153,hair,929.1
154,occur,435.25
155,program,170.71
156,walk,610.35
157,with,572.25
158,hotel,542.58
159,this,717.66
160,discuss,203.73
161,suddenly,808.95
162,result,564.47
163,hot,568.58
164,we,585.5
165,claim,115.12
166,hundred,382.99
167,certain,441.98
168,edge,701.47
169,ten,923.68
170,rate,678.98
171,become,901.1
172,these,101.83
173,travel,29.6
174,place,468.29
175,environment,537.18
176,kid,431.73
177,under,802.11
178,listen,265.47
179,analysis,710.67
180,these,324.53
181,activity,337.21
182,cover,481.98
183,girl,2.04
184,teach,818.66
185,war,79.68
186,drug,465.16
187,Republican,320.46
188,have,952.75
189,talk,283.11
190,fire,102.8
191,rest,398.69
192,amount,196.3
193,figure,397.74
194,someone,830.85
195,maybe,816.36
196,too,56.28
197,to,154.7
198,professional,566.15
199,together,188.53
200,these,762.68
201,himself,679.34
202,both,811.71
203,eight,359.12
204,open,825.4
205,dog,557.03
206,increase,560.23
207,thousand,84.42
208,husband,550.65
209,effort,576.13
210,fact,185.0
211,eat,792.37
212,food,528.52
213,economy,559.57
214,Mrs,484.08
215,health,687.08
216,learn,847.87
217,how,46.65
218,set,311.55
219,report,513.16
220,structure,678.7
221,direction,283.04
222,environmental,968.58
223,model,833.83
224,street,816.46
225,report,309.86
226,hot,893.48
227,ball,197.18
228,glass,153.19
229,style,993.79
230,that,592.16
231,try,805.46
232,step,142.34
233,increase,706.53
234,member,522.07
235,affect,996.98
236,yeah,929.55
237,seven,417.55
238,court,603.55
239,film,687.63
240,side,420.83
241,agent,770.61
242,interview,158.03
243,explain,883.63
244,structure,967.86
245,trial,144.99
246,leader,637.41
247,particular,776.9
248,allow,899.85
249,television,333.6
250,campaign,870.22
251,Mr,773.49
252,itself,206.32
253,human,241.66
254,pressure,882.25
255,director,958.07
256,be,318.22
257,rock,310.79
258,huge,896.26
259,unit,849.27
260,whose,46.95
261,yes,876.11
262,minute,319.12
263,entire,517.91
264,serve,467.88
265,down,529.35
266,available,684.76
267,here,545.47
268,level,251.26
269,offer,980.21
270,choice,269.03
271,half,437.37
272,ten,904.66
273,any,832.83
274,several,709.08
275,hard,383.61
276,evidence,85.09
277,minute,339.19
278,last,801.93
279,part,785.62
280,article,184.9
281,glass,585.89
282,those,336.65
283,life,786.96
284,if,676.27
285,federal,462.62
286,be,721.63
287,southern,409.15
288,guy,636.86
289,ahead,299.14
290,note,913.01
291,itself,96.9
292,final,670.92
293,smile,792.53
294,time,321.45
295,model,164.13
296,the,593.25
297,because,690.15
298,research,674.06
299,least,265.64
300,response,457.22
301,gas,34.25
302,people,423.93
303,support,280.96
304,wall,248.99
305,future,784.71
306,movie,677.61
307,threat,360.54
308,prevent,262.47
309,argue,167.63
310,thousand,750.48
311,may,61.8
312,PM,794.47
313,deal,179.94
314,create,448.93
315,gun,679.83
316,size,553.76
317,at,953.79
318,whom,418.59
319,those,389.68
320,coach,594.24
321,child,419.8
322,real,173.16
323,high,498.28
324,sea,108.75
325,doctor,669.45
326,need,381.75
327,pay,125.74
328,friend,37.44
329,also,869.12
330,mention,858.91
331,service,999.95
332,but,521.0
333,though,482.68
334,yes,584.23
335,lead,159.19
336,past,148.36
337,need,184.67
338,share,727.52
339,almost,448.78
340,never,121.35
341,world,630.13
342,family,785.06
343,on,48.5
344,someone,114.69
345,since,940.93
346,travel,78.33
347,officer,637.29
348,together,230.05
349,reveal,151.82
350,key,893.52
351,give,364.25
352,major,340.49
353,remember,981.14
354,right,869.3
355,bill,111.31
356,participant,938.47
357,to,953.71
358,listen,997.27
359,any,897.08
360,pull,220.94
361,still,578.64
362,born,569.04
363,who,442.33
364,home,356.56
365,point,539.58
366,animal,519.46
367,both,112.33
368,baby,947.4
369,service,285.52
370,give,662.71
371,unit,916.2
372,suggest,259.05
373,week,419.27
374,almost,482.48
375,hand,544.37
376,training,375.12
377,same,967.14
378,billion,445.61
379,magazine,315.87
380,each,359.9
381,south,171.8
382,somebody,701.19
383,party,123.93
384,contain,464.3
385,police,233.79
386,organization,326.53
387,body,175.85
388,start,294.42
389,finally,388.78
390,them,394.02
391,operation,183.32
392,after,874.23
393,within,459.83
394,medical,653.84
395,than,781.88
396,add,709.56
397,color,320.07
398,trade,771.02
399,toward,352.35
400,attorney,540.3
401,process,122.84
402,hair,652.71
403,decision,282.94
404,watch,844.15
405,account,664.28
406,kind,663.43
407,moment,141.08
408,avoid,211.17
409,friend,484.44
410,recent,665.59
411,amount,813.58
412,great,531.4
413,matter,10.3
414,unit,38.3
415,sometimes,216.11
416,drive,424.79
417,professional,56.32
418,agent,402.82
419,area,710.0
420,behind,875.62
421,option,725.53
422,kitchen,605.44
423,artist,886.89
424,get,975.1
425,relate,858.38
426,pay,437.88
427,same,325.93
428,purpose,521.83
429,now,400.1
430,manager,442.0
431,discussion,235.07
432,as,956.56
433,a,236.66
434,card,925.35
435,listen,179.72
436,share,974.87
437,position,410.88
438,wall,83.18
439,third,258.31
440,far,908.75
441,story,869.96
442,animal,584.03
443,throughout,345.16
444,learn,889.1
445,right,291.04
446,director,357.82
447,blood,877.99
448,base,648.57
449,put,848.68
450,anyone,326.99
451,special,350.57
452,technology,266.68
453,president,96.87
454,dark,406.77
455,mission,133.78
456,model,137.08
457,research,38.83
458,thank,518.23
459,minute,503.04
460,rise,605.9
461,fill,940.81
462,old,369.45
463,here,592.7
464,local,702.7
465,assume,344.59
466,market,295.64
467,dinner,823.78
468,turn,57.89
469,enjoy,59.48
470,television,194.33
471,room,6.98
472,well,684.52
473,history,927.75
474,administration,452.88
475,view,828.15
476,suggest,853.94
477,best,372.21
478,give,724.4
479,each,610.19
480,physical,15.69
481,when,42.55
482,candidate,434.72
483,method,473.26
484,share,880.89
485,thing,647.54
486,nation,838.03
487,behind,264.43
488,fire,420.71
489,nearly,252.29
490,student,773.85
491,leader,346.07
492,natural,891.68
493,push,390.46
494,discover,833.38
495,teacher,335.85
496,child,43.84
497,stay,350.14
498,evidence,146.18
499,order,140.54
500,certain,292.12
501,read,262.98
502,understand,632.02
503,which,313.87
504,high,780.66
505,garden,250.69
506,mission,619.36
507,type,499.88
508,account,816.05
509,measure,905.89
510,task,107.9
511,suggest,915.14
512,might,135.59
513,rather,786.34
514,number,860.51
515,table,712.38
516,full,91.0
517,expect,767.49
518,enough,746.55
519,hold,757.64
520,arm,843.95
521,year,645.18
522,rich,80.81
523,perform,558.61
524,recognize,747.78
525,international,46.28
526,cause,391.75
527,should,693.99
528,only,910.98
529,home,215.13
530,type,297.74
531,play,848.85
532,sport,944.17
533,group,235.56
534,kid,720.47
535,building,431.03
536,toward,562.38
537,Mrs,217.42
538,skin,14.82
539,our,180.83
540,character,237.72
541,night,913.35
542,near,798.33
543,art,749.69
544,environmental,19.61
545,few,422.28
546,amount,533.65
547,tend,7.4
548,major,967.08
549,thank,901.27
550,continue,629.86
551,music,937.82
552,per,678.13
553,modern,617.66
554,concern,511.45
555,blood,683.25
556,trip,170.71
557,for,339.34
558,nothing,761.19
559,wall,974.42
560,commercial,310.18
561,shake,326.94
562,some,780.87
563,move,355.66
564,performance,715.54
565,what,10.17
566,southern,283.77
567,across,321.94
568,enough,126.13
569,past,626.34
570,everyone,686.73
571,campaign,512.22
572,history,94.67
573,character,215.41
574,officer,633.0
575,data,105.81
576,feel,738.25
577,behavior,46.2
578,together,937.71
579,show,103.53
580,soldier,37.43
581,government,30.79
582,field,188.45
583,wife,822.18
584,season,817.48
585,walk,190.96
586,blue,708.88
587,her,943.43
588,figure,15.75
589,magazine,789.54
590,science,940.47
591,win,686.69
592,account,293.64
593,couple,581.8
594,seven,171.6
595,short,176.46
596,himself,522.17
597,hard,589.12
598,majority,629.6
599,reason,423.79
600,everyone,862.96
601,physical,959.26
602,place,302.9
603,cause,815.34
604,your,302.75
605,north,246.52
606,pressure,600.27
607,believe,517.31
608,kid,287.59
609,industry,612.51
610,which,311.55
611,together,445.0
612,sure,332.8
613,century,815.36
614,continue,552.88
615,response,688.99
616,couple,96.97
617,present,913.73
618,difference,75.18
619,sometimes,423.42
620,again,912.94
621,side,195.98
622,civil,534.13
623,college,545.51
624,those,513.64
625,scene,312.32
626,strong,353.54
627,science,719.7
628,test,563.28
629,current,651.72
630,structure,472.75
631,this,130.05
632,sign,698.94
633,loss,559.0
634,at,634.73
635,when,872.39
636,ahead,371.72
637,attention,836.13
638,cultural,234.97
639,put,545.22
640,direction,499.69
641,deep,221.38
642,would,411.85
643,local,414.68
644,without,69.16
645,price,5.77
646,ability,702.94
647,team,398.77
648,attack,282.04
649,mother,640.63
650,teacher,222.49
651,compare,564.15
652,size,528.73
653,commercial,593.99
654,power,154.66
655,expect,663.4
656,summer,157.06
657,street,188.29
658,tax,87.36
659,rock,531.48
660,alone,357.67
661,once,941.8
662,available,899.62
663,despite,662.2
664,hear,769.01
665,president,731.91
666,party,205.02
667,those,373.74
668,inside,901.07
669,occur,941.59
670,finally,161.97
671,sport,568.54
672,speak,700.91
673,challenge,578.69
674,serve,743.24
675,to,447.68
676,wall,552.94
677,eye,262.0
678,effect,126.06
679,project,233.25
680,feeling,459.29
681,organization,378.81
682,name,226.75
683,across,146.14
684,expect,950.62
685,social,267.12
686,mind,99.92
687,law,771.33
688,instead,927.92
689,culture,6.95
690,field,973.82
691,article,478.57
692,window,289.69
693,quickly,911.84
694,daughter,655.01
695,result,16.25
696,process,723.48
697,call,788.81
698,indicate,459.07
699,reach,546.58
700,black,458.22
701,treatment,378.1
702,easy,803.11
703,expect,201.16
704,shoulder,425.16
705,bed,737.11
706,give,923.75
707,institution,669.04
708,beat,286.01
709,blue,617.02
710,on,202.91
711,ahead,902.57
712,listen,222.02
713,reduce,734.91
714,bar,449.83
715,line,826.33
716,group,372.15
717,food,219.96
718,dream,505.58
719,recently,55.06
720,late,917.9
721,opportunity,727.34
722,begin,634.42
723,response,655.82
724,beat,763.08
725,attention,888.66
726,task,433.15
727,senior,384.13
728,hundred,391.25
729,probably,949.9
730,many,602.01
731,my,340.13
732,number,203.43
733,free,308.62
734,economic,783.35
735,perhaps,61.84
736,major,65.58
737,knowledge,536.04
738,college,331.88
739,later,116.6
740,keep,849.31
741,edge,233.38
742,direction,122.72
743,lawyer,922.4
744,seem,945.83
745,itself,633.15
746,here,618.2
747,team,158.35
748,administration,335.98
749,authority,292.66
750,understand,41.13
751,participant,787.12
752,maintain,478.13
753,second,595.98
754,others,653.07
755,kind,913.89
756,allow,725.76
757,fear,583.75
758,PM,141.22
759,measure,258.44
760,mean,990.41
761,recent,213.79
762,as,747.56
763,green,207.16
764,year,97.97
765,chance,20.81
766,student,371.55
767,whole,914.1
768,box,707.36
769,form,768.37
770,each,577.41
771,political,469.27
772,level,838.37
773,ok,218.62
774,drug,690.5
775,relate,301.92
776,nor,422.28
777,turn,367.36
778,southern,735.89
779,training,257.03
780,whole,851.33
781,through,160.49
782,range,870.87
783,million,941.24
784,return,795.16
785,small,410.24
786,would,561.25
787,do,853.15
788,which,145.45
789,never,627.83
790,short,688.99
791,just,417.56
792,hold,811.53
793,child,444.36
794,able,621.33
795,behind,189.57
796,two,525.26
797,foreign,188.79
798,anyone,291.61
799,never,328.92
800,nearly,826.7
801,west,727.56
802,black,853.9
803,fall,584.84
804,represent,525.99
805,see,907.4
806,song,371.76
807,prove,646.57
808,model,413.14
809,responsibility,871.95
810,sign,73.85
811,apply,77.73
812,anything,141.04
813,book,355.46
814,cultural,821.75
815,industry,270.03
816,something,279.42
817,other,992.88
818,wall,704.45
819,stock,375.11
820,standard,417.01
821,present,959.23
822,ever,574.91
823,ball,977.0
824,or,285.2
825,argue,720.18
826,fact,680.39
827,oil,348.91
828,town,424.28
829,low,957.16
830,wait,248.64
831,skin,400.18
832,play,161.18
833,describe,943.32
834,for,410.23
835,cold,989.62
836,partner,95.08
837,together,309.83
838,single,340.77
839,include,771.72
840,again,773.23
841,billion,663.46
842,attack,835.35
843,successful,572.61
844,himself,943.41
845,center,218.45
846,something,30.41
847,describe,631.9
848,admit,780.27
849,quickly,560.21
850,name,847.09
851,support,315.17
852,population,597.84
853,stuff,612.57
854,family,538.23
855,each,390.45
856,first,239.54
857,poor,512.46
858,participant,556.4
859,my,270.8
860,month,661.02
861,become,606.84
862,entire,810.62
863,appear,967.79
864,into,90.5
865,weight,551.36
866,check,687.0
867,make,932.16
868,little,505.72
869,only,189.31
870,carry,507.66
871,dog,94.23
872,soldier,160.25
873,general,454.24
874,risk,311.22
875,threat,552.58
876,ready,814.46
877,let,348.25
878,pay,786.49
879,brother,701.78
880,partner,701.72
881,Mrs,918.15
882,after,69.39
883,glass,697.86
884,kid,899.82
885,may,397.78
886,state,2.41
887,its,882.13
888,open,685.95
889,standard,964.66
890,sometimes,137.69
891,push,616.99
892,close,252.4
893,west,391.91
894,amount,193.3
895,game,928.5
896,interest,250.12
897,it,20.78
898,middle,592.06
899,lose,972.25
900,material,418.52
901,whatever,931.02
902,lawyer,944.74
903,alone,59.12
904,recognize,53.07
905,care,339.17
906,lawyer,874.38
907,fine,310.71
908,possible,572.28
909,bar,369.83
910,old,615.98
911,simply,563.51
912,concern,35.21
913,open,520.33
914,woman,514.39
915,miss,54.43
916,feeling,212.37
917,prepare,79.38
918,lose,427.7
919,help,486.16
920,civil,149.03
921,personal,825.9
922,perhaps,897.08
923,bit,162.75
924,possible,302.6
925,himself,961.82
926,three,200.95
927,foreign,890.16
928,trade,860.88
929,hold,570.26
930,remember,186.3
931,method,622.8
932,across,981.4
933,maintain,875.07
934,poor,9.79
935,process,896.03
936,same,777.94
937,nothing,992.94
938,worry,428.37
939,whom,976.79
940,book,598.28
941,young,538.18
942,ground,58.81
943,face,462.03
944,none,808.85
945,single,572.0
946,draw,464.67
947,road,423.41
948,rate,648.87
949,break,429.62
950,seek,973.5
951,simply,961.96
952,election,982.61
953,reduce,551.57
954,impact,524.23
955,beat,838.09
956,economic,162.68
957,certain,393.04
958,environmental,156.11
959,them,117.96
960,thus,382.73
961,kitchen,572.13
962,maintain,537.77
963,really,423.24
964,scene,269.25
965,admit,844.23
966,call,675.45
967,national,734.86
968,live,567.88
969,that,505.03
970,its,886.11
971,push,253.71
972,so,874.49
973,indicate,805.15
974,Republican,172.55
975,budget,984.62
976,difficult,717.53
977,too,861.69
978,on,285.27
979,indeed,532.98
980,heart,638.04
981,you,322.62
982,process,549.73
983,subject,630.15
984,black,770.04
985,tell,567.93
986,director,431.6
987,star,32.9
988,mother,774.88
989,stage,392.57
990,world,982.56
991,free,922.65
992,behavior,700.45
993,who,703.18
994,five,417.77
995,or,236.93
996,wind,509.26
997,candidate,316.16
998,through,513.46
999,project,462.7
1000,deal,870.48
1001,thus,433.65
1002,fund,192.26
1003,public,552.48
1004,space,589.82
1005,form,555.18
1006,democratic,266.84
1007,point,312.09
1008,nearly,346.09
1009,into,670.88
1010,stand,163.87
1011,yes,859.75
1012,seven,861.59
1013,summer,344.21
1014,strategy,172.89
1015,manage,917.48
1016,collection,107.86
1017,four,226.06
1018,couple,715.22
1019,civil,101.68
1020,party,367.54
1021,site,291.63
1022,including,208.58
1023,second,241.58
1024,past,253.53
1025,black,567.21
1026,buy,491.59
1027,rich,431.79
1028,arm,732.52
1029,water,89.96
1030,them,519.07
1031,born,987.02
1032,example,798.42
1033,born,583.13
1034,without,55.09
1035,individual,361.33
1036,job,507.15
1037,save,265.58
1038,pattern,617.3
1039,together,223.96
1040,mouth,980.92
1041,claim,645.52
1042,really,876.63
1043,total,950.78
1044,reduce,490.57
1045,several,100.27
1046,create,985.49
1047,return,941.24
1048,natural,512.36
1049,officer,507.83
1050,lot,384.58
1051,agreement,677.85
1052,enjoy,513.79
1053,line,766.2
1054,a,530.91
1055,fly,483.04
1056,who,903.32
1057,ready,490.27
1058,all,340.77
1059,network,784.78
1060,international,566.41
1061,himself,124.32
1062,personal,852.08
1063,report,969.93
1064,small,498.2
1065,program,866.42
1066,senior,744.25
1067,room,968.29
1068,dinner,205.68
1069,plan,84.06
1070,fine,599.86
1071,increase,428.1
1072,house,861.01
1073,either,441.66
1074,threat,465.1
1075,fine,204.35
1076,despite,258.0
1077,president,639.79
1078,forward,70.23
1079,bring,172.8
1080,successful,21.0
1081,item,710.17
1082,simply,231.56
1083,citizen,719.54
1084,wife,724.31
1085,adult,293.18
1086,whether,85.07
1087,maintain,978.86
1088,modern,921.72
1089,performance,822.13
1090,together,529.14
1091,debate,548.63
1092,away,486.42
1093,network,254.78
1094,fight,149.91
1095,what,852.45
1096,food,844.42
1097,send,905.53
1098,when,104.68
1099,thing,376.03
1100,red,962.08
1101,TV,758.98
1102,company,31.36
1103,movie,708.62
1104,behavior,143.63
1105,happen,769.32
1106,reduce,796.92
1107,whole,381.05
1108,organization,488.07
1109,focus,388.93
1110,charge,517.54
1111,theory,410.14
1112,two,374.6
1113,decide,477.15
1114,open,626.87
1115,life,844.21
1116,each,982.32
1117,for,431.04
1118,allow,597.83
1119,carry,457.78
1120,when,72.31
1121,fall,882.73
1122,step,467.5
1123,education,213.2
1124,perform,548.54
1125,well,670.5
1126,age,939.77
1127,why,490.69
1128,bit,450.14
1129,region,995.71
1130,perform,780.99
1131,just,612.03
1132,letter,408.55
1133,series,21.48
1134,military,429.42
1135,audience,972.32
1136,behind,215.41
1137,pass,874.5
1138,base,859.18
1139,mind,228.44
1140,large,138.95
1141,great,354.24
1142,leave,316.61
1143,west,21.22
1144,news,705.98
1145,unit,830.74
1146,run,900.6
1147,whole,564.66
1148,reality,676.93
1149,radio,425.45
1150,note,433.25
1151,consumer,946.52
1152,year,37.38
1153,official,278.49
1154,imagine,72.48
1155,leave,315.55
1156,allow,716.5
1157,how,891.53
1158,move,476.84
1159,hospital,396.17
1160,range,39.15
1161,help,724.16
1162,although,807.23
1163,education,583.43
1164,smile,123.06
1165,little,204.78
1166,cell,216.65
1167,capital,194.54
1168,computer,528.06
1169,course,405.51
1170,practice,257.27
1171,voice,764.43
1172,west,923.17
1173,stage,563.64
1174,serve,601.09
1175,hand,78.56
1176,under,665.22
1177,heavy,664.2
1178,character,635.9
1179,activity,355.05
1180,feeling,86.59
1181,build,946.25
1182,measure,679.75
1183,this,332.06
1184,keep,664.98
1185,significant,676.18
1186,choice,216.26
1187,situation,966.94
1188,which,195.01
1189,chance,859.21
1190,run,429.66
1191,will,445.57
1192,direction,33.25
1193,this,641.37
1194,scene,555.29
1195,two,541.95
1196,nor,303.16
1197,concern,803.33
1198,really,487.22
1199,front,217.56
1200,serious,830.26
1201,manager,510.03
1202,and,314.04
1203,action,274.6
1204,performance,390.11
1205,professor,644.7
1206,them,158.99
1207,young,759.01
1208,per,562.67
1209,realize,656.58
1210,light,555.52
1211,bring,937.93
1212,approach,377.63
1213,pick,398.5
1214,staff,761.58
1215,red,893.28
1216,range,561.57
1217,push,326.03
1218,whatever,567.48
1219,each,840.42
1220,personal,693.64
1221,ten,285.25
1222,agree,202.23
1223,east,659.66
1224,pretty,325.38
1225,member,661.15
1226,use,623.04
1227,yard,882.85
1228,senior,812.37
1229,ahead,954.85
1230,maybe,915.46
1231,usually,998.87
1232,outside,233.88
1233,important,872.71
1234,family,587.13
1235,available,710.1
1236,bar,622.04
1237,natural,807.62
1238,name,240.41
1239,wind,716.58
1240,natural,89.79
1241,office,383.28
1242,claim,377.82
1243,big,801.39
1244,thing,309.17
1245,others,882.18
1246,billion,493.3
1247,can,792.27
1248,summer,413.94
1249,long,932.81
1250,indeed,303.21
1251,spend,473.84
1252,trip,962.47
1253,day,953.02
1254,necessary,507.92
1255,staff,537.7
1256,better,662.76
1257,fish,359.17
1258,effect,703.75
1259,we,509.34
1260,inside,357.02
1261,theory,979.68
1262,consider,781.22
1263,when,889.32
1264,maintain,28.6
1265,data,106.17
1266,oil,626.88
1267,myself,753.7
1268,like,255.27
1269,four,540.25
1270,material,781.55
1271,degree,986.69
1272,word,846.42
1273,physical,93.42
1274,small,415.77
1275,bring,800.43
1276,old,671.5
1277,group,662.19
1278,record,680.08
1279,face,818.47
1280,son,843.43
1281,early,812.93
1282,all,167.41
1283,ball,782.13
1284,image,484.34
1285,somebody,558.4
1286,case,637.85
1287,kitchen,258.2
1288,yourself,335.57
1289,popular,550.31
1290,again,258.93
1291,news,348.22
1292,religious,317.65
1293,particularly,537.61
1294,leg,394.09
1295,west,719.89
1296,so,761.68
1297,animal,58.58
1298,finish,524.32
1299,brother,827.17
1300,capital,852.01
1301,far,268.73
1302,region,173.62
1303,push,199.6
1304,someone,652.83
1305,think,702.95
1306,article,965.9
1307,kind,196.55
1308,explain,723.11
1309,push,126.43
1310,require,241.57
1311,whole,353.8
1312,get,138.71
1313,spend,876.51
1314,more,977.72
1315,sort,320.21
1316,pretty,61.53
1317,I,535.95
1318,why,138.08
1319,even,493.09
1320,amount,108.68
1321,magazine,930.97
1322,friend,895.29
1323,car,371.52
1324,administration,403.42
1325,carry,651.3
1326,next,779.13
1327,season,728.84
1328,probably,566.39
1329,key,768.66
1330,building,789.17
1331,tonight,21.24
1332,any,966.37
1333,ok,490.28
1334,event,887.79
1335,notice,756.51
1336,they,620.6
1337,record,326.42
1338,scientist,524.91
1339,me,471.01
1340,serve,383.02
1341,it,997.46
1342,company,50.62
1343,think,608.36
1344,Republican,58.58
1345,ok,652.0
1346,year,391.01
1347,the,563.59
1348,laugh,751.46
1349,its,210.03
1350,training,360.06
1351,but,989.58
1352,themselves,99.18
1353,claim,466.74
1354,foreign,216.36
1355,somebody,886.37
1356,capital,192.68
1357,tree,419.91
1358,pretty,883.14
1359,themselves,106.43
1360,heart,347.87
1361,fight,428.8
1362,pick,363.17
1363,inside,721.16
1364,beat,563.35
1365,wall,946.74
1366,none,46.22
1367,also,264.92
1368,building,685.8
1369,major,212.77
1370,end,706.31
1371,door,295.61
1372,per,914.9
1373,early,226.31
1374,indeed,112.37
1375,mention,942.83
1376,member,634.52
1377,rich,14.36
1378,wait,541.5
1379,sure,742.94
1380,throughout,209.11
1381,six,530.49
1382,environmental,685.98
1383,partner,702.64
1384,body,43.35
1385,door,43.32
1386,decade,249.29
1387,however,657.27
1388,forget,792.45
1389,few,339.16
1390,young,423.59
1391,name,744.65
1392,case,970.96
1393,guy,313.06
1394,machine,514.39
1395,teacher,960.62
1396,book,662.96
1397,purpose,565.63
1398,prevent,146.47
1399,go,625.62
1400,light,40.44
1401,put,674.01
1402,meeting,24.66
1403,right,603.2
1404,think,798.24
1405,hard,951.01
1406,language,959.85
1407,he,751.8
1408,experience,938.73
1409,thought,493.76
1410,agreement,891.98
1411,off,979.91
1412,require,757.72
1413,walk,791.3
1414,each,325.8
1415,experience,99.15
1416,risk,910.63
1417,crime,440.23
1418,scientist,335.92
1419,manager,7.15
1420,site,299.33
1421,image,871.39
1422,type,938.29
1423,doctor,324.27
1424,campaign,673.34
1425,speech,394.38
1426,parent,635.44
1427,plant,42.31
1428,cause,679.37
1429,form,760.43
1430,customer,833.8
1431,truth,604.17
1432,discuss,223.53
1433,throughout,711.27
1434,under,813.53
1435,response,536.92
1436,adult,256.54
1437,until,471.57
1438,walk,633.63
1439,start,753.3
1440,feel,773.36
1441,wife,601.59
1442,line,211.88
1443,firm,282.71
1444,evidence,390.18
1445,car,263.15
1446,whose,816.26
1447,number,861.09
1448,successful,101.54
1449,will,101.37
1450,watch,900.98
1451,very,665.73
1452,south,638.17
1453,network,625.49
1454,term,859.77
1455,magazine,646.89
1456,language,302.54
1457,without,970.81
1458,police,590.15
1459,personal,395.58
1460,on,772.96
1461,reality,941.83
1462,past,412.37
1463,opportunity,578.47
1464,though,22.35
1465,seem,901.21
1466,operation,46.4
1467,return,360.03
1468,camera,185.81
1469,community,81.3
1470,sometimes,774.42
1471,meeting,128.47
1472,easy,987.11
1473,institution,391.62
1474,member,359.11
1475,military,630.81
1476,according,295.84
1477,surface,133.79
1478,expect,50.19
1479,career,589.27
1480,big,360.09
1481,father,773.31
1482,term,33.24
1483,store,118.17
1484,class,797.28
1485,score,628.74
1486,a,968.12
1487,trip,811.5
1488,health,16.97
1489,manager,394.43
1490,young,350.48
1491,contain,749.94
1492,anything,631.23
1493,development,626.47
1494,visit,188.91
1495,PM,781.32
1496,why,885.06
1497,pass,944.23
1498,on,978.81
1499,safe,19.51
1500,soldier,162.32
1501,person,506.64
1502,best,518.45
1503,become,959.94
1504,actually,243.36
1505,national,29.21
1506,summer,682.35
1507,future,900.75
1508,page,257.5
1509,analysis,376.86
1510,hope,409.63
1511,make,574.01
1512,Mrs,181.6
1513,safe,847.56
1514,reason,862.41
1515,rock,966.18
1516,decade,825.6
1517,read,804.74
1518,trip,825.18
1519,type,101.71
1520,able,187.9
1521,buy,395.45
1522,my,214.42
1523,use,99.55
1524,modern,353.03
1525,anything,508.96
1526,game,90.59
1527,set,200.02
1528,middle,505.32
1529,avoid,257.12
1530,know,870.6
1531,idea,397.67
1532,laugh,553.58
1533,know,569.98
1534,these,794.73
1535,thus,481.57
1536,mind,377.75
1537,protect,913.4
1538,everything,772.57
1539,store,216.53
1540,short,121.56
1541,fall,573.86
1542,organization,739.23
1543,it,346.28
1544,former,3.44
1545,television,196.46
1546,factor,865.08
1547,hotel,164.23
1548,top,889.27
